country,countryCode,indicatorName,indicatorCode,surveyArea,slumTotal,slumCases,slumClass,otherTotal,otherCases,otherClass,total,slumEst,slumLCL,slumUCL,otherEst,otherLCL,otherUCL,totalEst,totalLCL,totalUCL
Bangladesh,BGD,Households with appropriate / acceptable sanitation facilities,acceptSan,Survey Area 1,68,0,Low,66,9,Low,134,0,0,0,0.1364,0.0455,0.2424,0.0896,0.0299,0.1567
Bangladesh,BGD,Households in which every member is able to use and actually use sanitation facility,accessSan,Survey Area 1,68,64,High,66,62,High,134,0.9412,0.8529,1,0.9242,0.8477,0.9848,0.9254,0.8657,0.9776
Bangladesh,BGD,Households with access to sufficient and sustained drinking water,accessWater,Survey Area 1,68,0,Low,66,6,Low,134,0,0,0,0.0758,0.0152,0.1674,0.0522,0.0149,0.1049
Bangladesh,BGD,Households with adequate sanitation facility,adequateSan,Survey Area 1,68,56,High,66,56,High,134,0.8971,0.7941,0.9706,0.8788,0.7576,0.9705,0.8806,0.791,0.9403
Bangladesh,BGD,Mean likelihood of household being below the USAID extreme poverty line,extreme,Survey Area 1,68,6.54,Low,66,1.302,Low,134,0.0922,0.0726,0.1166,0.0177,0.0069,0.0359,0.0409,0.0276,0.0565
Bangladesh,BGD,Households using open defecation,jmpSan1,Survey Area 1,68,0,Low,66,0,Low,134,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using unimproved sanitation facility,jmpSan2,Survey Area 1,68,9,Low,66,10,Low,134,0.0882,0.0147,0.1919,0.1212,0.0303,0.2576,0.1119,0.0444,0.194
Bangladesh,BGD,Households using shared improved sanitation facility,jmpSan3,Survey Area 1,68,50,Moderate,66,10,Low,134,0.7647,0.6324,0.8971,0.1515,0.0758,0.2576,0.3507,0.2463,0.4627
Bangladesh,BGD,Households using improved sanitation facility not shared with others,jmpSan4,Survey Area 1,68,6,Low,66,46,Moderate,134,0.1176,0.0294,0.2059,0.7273,0.5758,0.8485,0.5224,0.4179,0.6347
Bangladesh,BGD,Households using safely managed sanitaion facility,jmpSan5,Survey Area 1,68,4,Low,66,45,Moderate,134,0.0735,0.0147,0.1765,0.7121,0.575,0.8333,0.5075,0.403,0.6194
Bangladesh,BGD,Households using surface water as source of drinking water,jmpWater1,Survey Area 1,68,0,Low,66,0,Low,134,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using unimproved source of drinking water,jmpWater2,Survey Area 1,68,1,Low,66,8,Low,134,0,0,0.0441,0.1212,0.0303,0.2273,0.0896,0.0373,0.1567
Bangladesh,BGD,Households using improved source of drinking water that takes more than 30 minutes to collect from,jmpWater3,Survey Area 1,68,67,High,66,58,High,134,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using improved source of drinking water that takes 30 minutes or less to collect from,jmpWater4,Survey Area 1,68,2,Low,66,14,Low,134,0.9559,0.8676,1,0.6818,0.5455,0.8182,0.7687,0.6642,0.8582
Bangladesh,BGD,Households using an improved source of drinking water that is located on premises and is available when needed,jmpWater5,Survey Area 1,68,2,Low,66,7,Low,134,0.0441,0,0.1176,0.1061,0.0303,0.2121,0.0896,0.0299,0.1571
Bangladesh,BGD,Households whose women are comfortable using sanitation facility during menstruation,jmpWoman,Survey Area 1,68,37,Moderate,66,61,High,134,0.6176,0.4559,0.7647,0.9846,0.9231,1,0.8692,0.7846,0.9389
Bangladesh,BGD,Households whose women practice good menstrual hygiene behaviour,jmpWomenHygiene,Survey Area 1,68,0,Low,66,0,Low,134,0.9531,0.8656,1,0.9385,0.8413,1,0.9389,0.8758,0.9845
Bangladesh,BGD,Mean likelihood of household being below the Bangladesh lower national poverty line,nl,Survey Area 1,68,7.285,Low,66,1.442,Low,134,0.1014,0.0784,0.1294,0.0182,0.0071,0.039,0.0451,0.028,0.063
Bangladesh,BGD,Mean number of household members per household,nMembers,Survey Area 1,68,0,NA,66,0,NA,134,4.3676,3.7478,5.1184,4.5303,4.0742,4.9553,4.4552,4.1784,4.8743
Bangladesh,BGD,Mean likelihood of household being below 100% of the Bangladesh upper national poverty line,nu100,Survey Area 1,68,16.365,Low,66,4.424,Low,134,0.2363,0.1923,0.2792,0.0628,0.04,0.0979,0.1169,0.088,0.1492
Bangladesh,BGD,Mean likelihood of household being below 150% of the Bangladesh upper national poverty line,nu150,Survey Area 1,68,43.676,Moderate,66,21.036,Low,134,0.6327,0.5714,0.6947,0.3102,0.2609,0.3637,0.4116,0.3654,0.4661
Bangladesh,BGD,Mean likelihood of household being below 200% of the Bangladesh upper national poverty line,nu200,Survey Area 1,68,56.644,High,66,35.727,Moderate,134,0.828,0.7792,0.8721,0.5335,0.4794,0.5871,0.6259,0.5791,0.6758
Bangladesh,BGD,Mean poverty score,ppi,Survey Area 1,68,0,NA,66,0,NA,134,46.6912,43.2015,50.764,68.3182,64.4197,72.1992,61.6716,58.1086,64.9343
Bangladesh,BGD,Mean likelihood of household being below the $1.25/day 2005 PPP poverty line,ppp125,Survey Area 1,68,24.186,Low,66,7.72,Low,134,0.3482,0.294,0.4042,0.1106,0.0783,0.1553,0.1844,0.145,0.2273
Bangladesh,BGD,Mean likelihood of household being below the $1.75/day 2005 PPP poverty line,ppp175,Survey Area 1,68,46.436,Moderate,66,24.104,Low,134,0.6742,0.6145,0.7292,0.3579,0.3102,0.4209,0.4568,0.4048,0.5168
Bangladesh,BGD,Mean likelihood of household being below the $2.00/day 2005 PPP poverty line,ppp200,Survey Area 1,68,52.824,Moderate,66,30.918,Low,134,0.77,0.718,0.8225,0.4582,0.4019,0.5179,0.5571,0.5036,0.6133
Bangladesh,BGD,Mean likelihood of household being below the $2.50/day 2005 PPP poverty line,ppp250,Survey Area 1,68,60.044,High,66,41.343,Moderate,134,0.8793,0.8395,0.9145,0.6213,0.5627,0.6724,0.6999,0.6539,0.7426
Bangladesh,BGD,Mean wealth index,pQuintile,Survey Area 1,68,0,NA,66,0,NA,134,2.2206,1.9118,2.5441,4,3.6962,4.2886,3.4254,3.1563,3.7022
Bangladesh,BGD,Households practicing sanitary disposal of child's faeces,san12,Survey Area 1,68,20,Low,66,22,Low,134,0.2353,0.1176,0.3971,0.3333,0.2114,0.4697,0.306,0.2235,0.4104
Bangladesh,BGD,Households with adequate physical access to sanitation facilities,san13,Survey Area 1,68,248,High,66,135,High,134,3.4265,2.4559,4.5154,1.5758,1.0447,2.1371,2.1119,1.6787,2.6347
Bangladesh,BGD,Households relying on formal operators to maintain facility,san25,Survey Area 1,68,12,Low,66,2,Low,134,0.1765,0.0735,0.2941,0.0606,0,0.1515,0.1045,0.0448,0.1642
Bangladesh,BGD,Households whose women are using adequate hygienic menstrual hygiene materials,san28,Survey Area 1,68,64,High,66,61,High,134,0.9508,0.8635,1,1,1,1,0.9843,0.9512,1
Bangladesh,BGD,Households with handwashing facilty with soap and water,san32,Survey Area 1,68,26,Low,66,53,High,134,0.4265,0.2794,0.5596,0.803,0.6515,0.9091,0.6791,0.5821,0.7687
Bangladesh,BGD,Households relying on formal pit emptier,san35,Survey Area 1,68,6,Low,66,4,Low,134,0.0294,0,0.1176,0.0606,0,0.1364,0.0522,0.0149,0.1049
Bangladesh,BGD,Mean expenditure in drinking water,water12,Survey Area 1,68,759,High,66,2450,High,134,29.1818,13.3579,49.3075,54.3636,25.5301,88.8976,49.0213,27.8528,79.5581
Bangladesh,BGD,Households with good self-perceived quality of drinking water,water14a,Survey Area 1,68,50,Moderate,66,57,High,134,0.7794,0.6324,0.9118,0.8182,0.6818,0.9394,0.8134,0.709,0.8955
Bangladesh,BGD,Households relying on formal provider for service supply maintenance,water17,Survey Area 1,68,22,Low,66,16,Low,134,0.3382,0.1765,0.5,0.303,0.1515,0.4394,0.306,0.216,0.4108
Bangladesh,BGD,Households safely storing drinking water,water18,Survey Area 1,68,56,High,66,55,High,134,0.7937,0.6449,0.9078,0.8788,0.7417,0.9697,0.8433,0.7517,0.9167
Bangladesh,BGD,Households with formal drinking water service provision,water2a,Survey Area 1,68,51,Moderate,66,25,Low,134,0.8065,0.6546,0.9323,0.5077,0.3435,0.6769,0.5969,0.48,0.7254
Bangladesh,BGD,Households with adequate physical access to drinking water,water7a,Survey Area 1,68,68,High,66,66,High,134,1,1,1,1,1,1,1,1,1
Bangladesh,BGD,Households with appropriate / acceptable sanitation facilities,acceptSan,Survey Area 2,160,4,Low,66,3,Low,226,0,0,0.025,0.0909,0.0303,0.1818,0.0133,0,0.0398
Bangladesh,BGD,Households in which every member is able to use and actually use sanitation facility,accessSan,Survey Area 2,160,140,High,66,54,High,226,0.8625,0.7997,0.925,0.8939,0.7879,0.9848,0.8673,0.8009,0.9204
Bangladesh,BGD,Households with access to sufficient and sustained drinking water,accessWater,Survey Area 2,160,16,Low,66,2,Low,226,0.0438,0.0062,0.0878,0.0152,0,0.0909,0.0398,0.0133,0.0752
Bangladesh,BGD,Households with adequate sanitation facility,adequateSan,Survey Area 2,160,154,High,66,52,Moderate,226,0.9438,0.8875,0.9875,0.8788,0.7576,0.9697,0.9292,0.8805,0.969
Bangladesh,BGD,Mean likelihood of household being below the USAID extreme poverty line,extreme,Survey Area 2,160,18.277,Low,66,3.907,Low,226,0.1264,0.1057,0.1458,0.0431,0.0214,0.0654,0.1132,0.0978,0.1322
Bangladesh,BGD,Households using open defecation,jmpSan1,Survey Area 2,160,0,Low,66,0,Low,226,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using unimproved sanitation facility,jmpSan2,Survey Area 2,160,6,Low,66,14,Low,226,0.0562,0.0125,0.1188,0.1364,0.0303,0.2424,0.0708,0.031,0.1195
Bangladesh,BGD,Households using shared improved sanitation facility,jmpSan3,Survey Area 2,160,150,High,66,20,Low,226,0.9062,0.8438,0.9625,0.303,0.1667,0.4402,0.8186,0.7564,0.8805
Bangladesh,BGD,Households using improved sanitation facility not shared with others,jmpSan4,Survey Area 2,160,4,Low,66,32,Low,226,0.0312,0.0062,0.0688,0.5758,0.4091,0.697,0.1106,0.0664,0.1681
Bangladesh,BGD,Households using safely managed sanitaion facility,jmpSan5,Survey Area 2,160,3,Low,66,25,Low,226,0.0125,0,0.0438,0.5152,0.3788,0.6674,0.0885,0.0442,0.1374
Bangladesh,BGD,Households using surface water as source of drinking water,jmpWater1,Survey Area 2,160,0,Low,66,0,Low,226,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using unimproved source of drinking water,jmpWater2,Survey Area 2,160,3,Low,66,11,Low,226,0,0,0.025,0.1061,0.0152,0.2273,0.0177,0,0.0487
Bangladesh,BGD,Households using improved source of drinking water that takes more than 30 minutes to collect from,jmpWater3,Survey Area 2,160,157,High,66,55,High,226,0.0125,0,0.0438,0,0,0.0303,0.0133,0,0.0354
Bangladesh,BGD,Households using improved source of drinking water that takes 30 minutes or less to collect from,jmpWater4,Survey Area 2,160,64,Low,66,7,Low,226,0.7188,0.6188,0.8062,0.7879,0.6364,0.8947,0.7212,0.6416,0.7876
Bangladesh,BGD,Households using an improved source of drinking water that is located on premises and is available when needed,jmpWater5,Survey Area 2,160,60,Low,66,3,Low,226,0.25,0.1688,0.3566,0.0455,0,0.1364,0.2212,0.1504,0.292
Bangladesh,BGD,Households whose women are comfortable using sanitation facility during menstruation,jmpWoman,Survey Area 2,160,100,Moderate,66,57,High,226,0.4091,0.3139,0.5128,0.9531,0.8768,1,0.482,0.3946,0.5773
Bangladesh,BGD,Households whose women practice good menstrual hygiene behaviour,jmpWomenHygiene,Survey Area 2,160,0,Low,66,0,Low,226,0.9517,0.9066,0.9867,0.9836,0.9192,1,0.9565,0.9175,0.9856
Bangladesh,BGD,Mean likelihood of household being below the Bangladesh lower national poverty line,nl,Survey Area 2,160,20.222,Low,66,4.434,Low,226,0.1396,0.1188,0.1627,0.0476,0.0242,0.0782,0.1266,0.1102,0.1477
Bangladesh,BGD,Mean number of household members per household,nMembers,Survey Area 2,160,0,NA,66,0,NA,226,4.5187,4.2,4.8441,4.5,4.1818,4.8492,4.5088,4.2655,4.792
Bangladesh,BGD,Mean likelihood of household being below 100% of the Bangladesh upper national poverty line,nu100,Survey Area 2,160,43.286,Low,66,10.091,Low,226,0.2978,0.2644,0.3341,0.1223,0.069,0.1717,0.2727,0.2413,0.3044
Bangladesh,BGD,Mean likelihood of household being below 150% of the Bangladesh upper national poverty line,nu150,Survey Area 2,160,105.818,Moderate,66,29.297,Low,226,0.6996,0.6598,0.7323,0.3898,0.3055,0.4697,0.6549,0.6069,0.6878
Bangladesh,BGD,Mean likelihood of household being below 200% of the Bangladesh upper national poverty line,nu200,Survey Area 2,160,134.656,High,66,41.618,Moderate,226,0.8601,0.8309,0.8867,0.5776,0.4888,0.6639,0.8212,0.7901,0.8531
Bangladesh,BGD,Mean poverty score,ppi,Survey Area 2,160,0,NA,66,0,NA,226,42.5125,39.8984,45.2944,63.4545,56.8568,69.1455,45.5796,42.8312,48.2352
Bangladesh,BGD,Mean likelihood of household being below the $1.25/day 2005 PPP poverty line,ppp125,Survey Area 2,160,61.819,Low,66,15.097,Low,226,0.4229,0.3796,0.4602,0.1881,0.1297,0.2554,0.3874,0.3496,0.4252
Bangladesh,BGD,Mean likelihood of household being below the $1.75/day 2005 PPP poverty line,ppp175,Survey Area 2,160,111.901,Moderate,66,31.872,Low,226,0.7322,0.6923,0.7662,0.4331,0.3548,0.5228,0.6877,0.6425,0.7259
Bangladesh,BGD,Mean likelihood of household being below the $2.00/day 2005 PPP poverty line,ppp200,Survey Area 2,160,126.337,Moderate,66,37.606,Moderate,226,0.8152,0.7796,0.8489,0.5176,0.4364,0.5988,0.7726,0.7357,0.809
Bangladesh,BGD,Mean likelihood of household being below the $2.50/day 2005 PPP poverty line,ppp250,Survey Area 2,160,142.299,High,66,46.039,Moderate,226,0.9047,0.8748,0.9296,0.65,0.577,0.7227,0.8676,0.8336,0.8958
Bangladesh,BGD,Mean wealth index,pQuintile,Survey Area 2,160,0,NA,66,0,NA,226,1.9125,1.7122,2.1378,3.5,2.9841,3.9856,2.146,1.9467,2.3761
Bangladesh,BGD,Households practicing sanitary disposal of child's faeces,san12,Survey Area 2,160,30,Low,66,15,Low,226,0.225,0.1562,0.3,0.2121,0.1061,0.3492,0.2257,0.1679,0.2967
Bangladesh,BGD,Households with adequate physical access to sanitation facilities,san13,Survey Area 2,160,1434,High,66,214,High,226,6.6125,5.5237,7.7128,3.1364,2.1803,4.3795,6.115,5.2299,7.129
Bangladesh,BGD,Households relying on formal operators to maintain facility,san25,Survey Area 2,160,33,Low,66,2,Low,226,0.1875,0.1125,0.2756,0.0606,0,0.1515,0.1681,0.1062,0.2434
Bangladesh,BGD,Households whose women are using adequate hygienic menstrual hygiene materials,san28,Survey Area 2,160,149,High,66,59,High,226,1,0.9861,1,1,1,1,1,0.9901,1
Bangladesh,BGD,Households with handwashing facilty with soap and water,san32,Survey Area 2,160,64,Low,66,32,Low,226,0.325,0.2188,0.4312,0.5152,0.3636,0.6667,0.3496,0.2699,0.4427
Bangladesh,BGD,Households relying on formal pit emptier,san35,Survey Area 2,160,24,Low,66,12,Low,226,0.0562,0.0125,0.1125,0.0758,0,0.1818,0.0619,0.0263,0.1106
Bangladesh,BGD,Mean expenditure in drinking water,water12,Survey Area 2,160,1783,High,66,2234,High,226,19.5225,10.963,29.9205,64.4894,40.4983,91.8017,27,17.9245,37.5463
Bangladesh,BGD,Households with good self-perceived quality of drinking water,water14a,Survey Area 2,160,116,Moderate,66,58,High,226,0.6625,0.5684,0.7753,0.8939,0.7879,0.9697,0.6947,0.6192,0.779
Bangladesh,BGD,Households relying on formal provider for service supply maintenance,water17,Survey Area 2,160,56,Low,66,16,Low,226,0.325,0.2375,0.4312,0.2121,0.0909,0.3485,0.3142,0.2345,0.3896
Bangladesh,BGD,Households safely storing drinking water,water18,Survey Area 2,160,148,High,66,62,High,226,0.9812,0.9497,1,0.9394,0.8485,1,0.9735,0.9423,0.9956
Bangladesh,BGD,Households with formal drinking water service provision,water2a,Survey Area 2,160,96,Moderate,66,30,Low,226,0.7468,0.647,0.8412,0.6769,0.4923,0.8183,0.7364,0.6503,0.8157
Bangladesh,BGD,Households with adequate physical access to drinking water,water7a,Survey Area 2,160,157,High,66,65,High,226,0.975,0.9438,1,1,0.9697,1,0.9823,0.9558,1
Bangladesh,BGD,Households with appropriate / acceptable sanitation facilities,acceptSan,Survey Area 3,64,0,Low,66,3,Low,130,0,0,0,0.0303,0,0.1364,0.0308,0,0.0769
Bangladesh,BGD,Households in which every member is able to use and actually use sanitation facility,accessSan,Survey Area 3,64,57,High,66,59,High,130,0.8906,0.7812,0.9688,0.8939,0.7879,0.9705,0.8846,0.8,0.9462
Bangladesh,BGD,Households with access to sufficient and sustained drinking water,accessWater,Survey Area 3,64,1,Low,66,5,Low,130,0,0,0.0312,0.0303,0,0.0909,0.0154,0,0.0462
Bangladesh,BGD,Households with adequate sanitation facility,adequateSan,Survey Area 3,64,53,High,66,55,High,130,0.8281,0.7031,0.9375,0.9242,0.8182,1,0.8923,0.8,0.9692
Bangladesh,BGD,Mean likelihood of household being below the USAID extreme poverty line,extreme,Survey Area 3,64,7.392,Low,66,2.144,Low,130,0.0905,0.0586,0.1228,0.0247,0.011,0.0413,0.0421,0.0276,0.0583
Bangladesh,BGD,Households using open defecation,jmpSan1,Survey Area 3,64,0,Low,66,1,Low,130,0,0,0,0,0,0.0303,0,0,0.0154
Bangladesh,BGD,Households using unimproved sanitation facility,jmpSan2,Survey Area 3,64,7,Low,66,10,Low,130,0.1406,0.0312,0.2812,0.0758,0,0.1674,0.0923,0.0308,0.1696
Bangladesh,BGD,Households using shared improved sanitation facility,jmpSan3,Survey Area 3,64,52,High,66,12,Low,130,0.8281,0.6719,0.9375,0.3182,0.1818,0.4697,0.4538,0.3462,0.5615
Bangladesh,BGD,Households using improved sanitation facility not shared with others,jmpSan4,Survey Area 3,64,1,Low,66,43,Moderate,130,0,0,0.0312,0.5909,0.4545,0.7424,0.4308,0.3304,0.5462
Bangladesh,BGD,Households using safely managed sanitaion facility,jmpSan5,Survey Area 3,64,1,Low,66,41,Moderate,130,0,0,0.0469,0.5909,0.4242,0.7129,0.4231,0.3077,0.5615
Bangladesh,BGD,Households using surface water as source of drinking water,jmpWater1,Survey Area 3,64,0,Low,66,0,Low,130,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using unimproved source of drinking water,jmpWater2,Survey Area 3,64,2,Low,66,6,Low,130,0.0312,0,0.0938,0.0455,0,0.1212,0.0385,0,0.0923
Bangladesh,BGD,Households using improved source of drinking water that takes more than 30 minutes to collect from,jmpWater3,Survey Area 3,64,62,High,66,60,High,130,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using improved source of drinking water that takes 30 minutes or less to collect from,jmpWater4,Survey Area 3,64,6,Low,66,16,Low,130,0.9219,0.8281,1,0.8788,0.7727,0.9697,0.8846,0.815,0.9538
Bangladesh,BGD,Households using an improved source of drinking water that is located on premises and is available when needed,jmpWater5,Survey Area 3,64,5,Low,66,4,Low,130,0.0469,0,0.125,0.0303,0,0.1212,0.0385,0,0.0923
Bangladesh,BGD,Households whose women are comfortable using sanitation facility during menstruation,jmpWoman,Survey Area 3,64,35,Moderate,66,60,High,130,0.4677,0.288,0.6454,0.9516,0.8792,1,0.8268,0.7187,0.9114
Bangladesh,BGD,Households whose women practice good menstrual hygiene behaviour,jmpWomenHygiene,Survey Area 3,64,0,Low,66,0,Low,130,0.9818,0.9072,1,0.9385,0.857,1,0.944,0.8896,0.9841
Bangladesh,BGD,Mean likelihood of household being below the Bangladesh lower national poverty line,nl,Survey Area 3,64,8.196,Low,66,2.395,Low,130,0.0977,0.0625,0.1433,0.0262,0.0125,0.0453,0.0456,0.0297,0.0644
Bangladesh,BGD,Mean number of household members per household,nMembers,Survey Area 3,64,0,NA,66,0,NA,130,3.8281,3.4992,4.1258,4.3182,3.8932,4.8955,4.1769,3.8612,4.5773
Bangladesh,BGD,Mean likelihood of household being below 100% of the Bangladesh upper national poverty line,nu100,Survey Area 3,64,17.176,Low,66,6.412,Low,130,0.2277,0.1794,0.2888,0.0827,0.0537,0.1203,0.1239,0.0962,0.1581
Bangladesh,BGD,Mean likelihood of household being below 150% of the Bangladesh upper national poverty line,nu150,Survey Area 3,64,42.202,Moderate,66,24.363,Low,130,0.6179,0.541,0.6838,0.3598,0.3033,0.4303,0.4315,0.3868,0.4889
Bangladesh,BGD,Mean likelihood of household being below 200% of the Bangladesh upper national poverty line,nu200,Survey Area 3,64,53.946,High,66,38.568,Moderate,130,0.8185,0.7728,0.8617,0.5891,0.5184,0.6464,0.6549,0.6071,0.7053
Bangladesh,BGD,Mean poverty score,ppi,Survey Area 3,64,0,NA,66,0,NA,130,47.5625,43.568,51.1281,64.7121,59.997,69.053,59.7,56.1462,62.9273
Bangladesh,BGD,Mean likelihood of household being below the $1.25/day 2005 PPP poverty line,ppp125,Survey Area 3,64,24.605,Low,66,10.364,Low,130,0.3369,0.273,0.4031,0.1452,0.1069,0.1937,0.1969,0.1555,0.2384
Bangladesh,BGD,Mean likelihood of household being below the $1.75/day 2005 PPP poverty line,ppp175,Survey Area 3,64,44.581,Moderate,66,27.234,Low,130,0.6573,0.5937,0.7134,0.4099,0.3435,0.469,0.4778,0.4302,0.5336
Bangladesh,BGD,Mean likelihood of household being below the $2.00/day 2005 PPP poverty line,ppp200,Survey Area 3,64,50.448,Moderate,66,33.893,Moderate,130,0.7588,0.7064,0.8118,0.5213,0.4589,0.592,0.5844,0.5354,0.6285
Bangladesh,BGD,Mean likelihood of household being below the $2.50/day 2005 PPP poverty line,ppp250,Survey Area 3,64,57.028,High,66,43.994,Moderate,130,0.8736,0.8318,0.9083,0.6739,0.6153,0.7282,0.7283,0.6879,0.7685
Bangladesh,BGD,Mean wealth index,pQuintile,Survey Area 3,64,0,NA,66,0,NA,130,2.3125,2.0148,2.5945,3.6818,3.2727,4.0303,3.3077,3.0535,3.6
